Price,Capital Gains,Capital Gains,Capital Gains,Capital Gains,Capital Gains,Capital Gains,Capital Gains,Close,Close,Close,Close,Close,Close,Close,Dividends,Dividends,Dividends,Dividends,Dividends,Dividends,Dividends,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Open,Stock Splits,Stock Splits,Stock Splits,Stock Splits,Stock Splits,Stock Splits,Stock Splits,Volume,Volume,Volume,Volume,Volume,Volume,Volume
Ticker,HLAL,SPRE,SPSK,SPTE,SPUS,SPWO,UMMA,HLAL,SPRE,SPSK,SPTE,SPUS,SPWO,UMMA,HLAL,SPRE,SPSK,SPTE,SPUS,SPWO,UMMA,HLAL,SPRE,SPSK,SPTE,SPUS,SPWO,UMMA,HLAL,SPRE,SPSK,SPTE,SPUS,SPWO,UMMA,HLAL,SPRE,SPSK,SPTE,SPUS,SPWO,UMMA,HLAL,SPRE,SPSK,SPTE,SPUS,SPWO,UMMA,HLAL,SPRE,SPSK,SPTE,SPUS,SPWO,UMMA
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-12,0.0,,0.0,,0.0,,,27.25861358642578,,18.168563842773438,,20.361589431762695,,,0.0,,0.0,,0.0,,,27.268168173467675,,18.20819639417251,,20.556323482802796,,,27.182178712441793,,18.131633706015254,,20.242849112547184,,,27.25861358642578,,18.20369179710422,,20.556323482802796,,,0.0,,0.0,,0.0,,,8600,,6800,,28200,,
2020-02-13,0.0,,0.0,,0.0,,,27.187910079956055,,18.185688018798828,,20.319795608520508,,,0.0,,0.0,,0.0,,,27.258613659786107,,18.230723704896374,,20.366341614281776,,,27.121029792833962,,18.185688018798828,,20.317894995050537,,,27.18217878559641,,18.212708743256833,,20.352091542841045,,,0.0,,0.0,,0.0,,,10600,,15200,,10800,,
2020-02-14,0.0,,0.0,,0.0,,,27.197465896606445,,18.199188232421875,,20.36538314819336,,,0.0,,0.0,,0.0,,,27.210841954635587,,18.230713538710624,,20.36538314819336,,,27.115297901991184,,18.167662926133122,,20.29984009024463,,,27.19173277963646,,18.194685353523628,,20.318837159010144,,,0.0,,0.0,,0.0,,,3800,,18500,,8400,,
2020-02-18,0.0,,0.0,,0.0,,,27.024526596069336,,18.185688018798828,,20.271352767944336,,,0.0,,0.0,,0.0,,,27.143956182165578,,18.230723704896374,,20.48983457786939,,,26.91178503763687,,18.17668053797906,,20.227656768326117,,,27.143956182165578,,18.230723704896374,,20.48983457786939,,,0.0,,0.0,,0.0,,,13200,,30600,,7700,,
2020-02-19,0.0,,0.0,,0.0,,,27.271028518676758,,18.20008659362793,,20.385337829589844,,,0.0,,0.0,,0.0,,,27.29109260152896,,18.221704189717972,,20.584822514839594,,,27.201281684616607,,18.189278654582992,,20.36634075485988,,,27.229945441127256,,18.203689239976242,,20.584822514839594,,,0.0,,0.0,,0.0,,,26700,,18500,,18900,,
2020-02-20,0.0,,0.0,,0.0,,,27.1678466796875,,18.217199325561523,,20.29889488220215,,,0.0,,0.0,,0.0,,,27.315940049447367,,18.221702203506048,,20.385337459111515,,,27.019755132278824,,18.209092083661407,,20.25234887925095,,,27.315940049447367,,18.21269472961702,,20.385337459111515,,,0.0,,0.0,,0.0,,,12700,,1200,,2400,,
2020-02-21,0.0,,0.0,,0.0,,,26.862106323242188,,18.248727798461914,,20.01486587524414,,,0.0,,0.0,,0.0,,,27.0092429539587,,18.284755982283016,,20.090859599316182,,,26.862106323242188,,18.248727798461914,,20.013916474595312,,,27.0092429539587,,18.284755982283016,,20.081360157328014,,,0.0,,0.0,,0.0,,,2800,,14300,,7500,,
2020-02-24,0.0,,0.0,,0.0,,,25.930553436279297,,18.273942947387695,,19.367021560668945,,,0.0,,0.0,,0.0,,,26.446490168432,,18.28475088412047,,19.596901558482905,,,25.882782326569316,,18.257730183288636,,19.245431226933935,,,26.446490168432,,18.266737656232515,,19.596901558482905,,,0.0,,0.0,,0.0,,,27600,,26700,,37900,,
2020-02-25,0.0,,0.0,,0.0,,,25.12894058227539,,18.25773048400879,,18.827468872070312,,,0.0,,0.0,,0.0,,,26.112084280342486,,18.298263253923945,,20.328346765081452,,,25.089767328670796,,18.24872301091655,,18.808469981970884,,,26.112084280342486,,18.265836007191922,,20.328346765081452,,,0.0,,0.0,,0.0,,,50500,,31400,,16300,,
2020-02-26,0.0,,0.0,,0.0,,,25.012378692626953,,18.227102279663086,,18.859760284423828,,,0.0,,0.0,,0.0,,,25.514937517704837,,18.23791021471232,,19.17228521773969,,,25.012378692626953,,18.227102279663086,,18.798966030738242,,,25.299963891377896,,18.23791021471232,,19.121937994713672,,,0.0,,0.0,,0.0,,,24000,,400,,45500,,
2020-02-27,0.0,,0.0,,0.0,,,23.88591957092285,,18.208192825317383,,18.03713035583496,,,0.0,,0.0,,0.0,,,24.841356353759764,,18.22170317787337,,18.751471075768926,,,23.88591957092285,,18.20549041120617,,18.03713035583496,,,24.841356353759764,,18.22170317787337,,18.352503528972417,,,0.0,,0.0,,0.0,,,30000,,1300,,4800,,
2020-02-28,0.0,,0.0,,0.0,,,23.541961669921875,,18.199188232421875,,17.906042098999023,,,0.0,,0.0,,0.0,,,23.551516256401513,,18.62703388376965,,17.906042098999023,,,22.911373541074042,,18.149647974539455,,17.336088153503415,,,23.207560254889717,,18.62703388376965,,17.421581335919438,,,0.0,,0.0,,0.0,,,38300,,71800,,22100,,
2020-03-02,0.0,,0.0,,0.0,,,24.7935848236084,,18.239721298217773,,18.650781631469727,,,0.0,,0.0,,0.0,,,24.7935848236084,,18.28025408093383,,18.650781631469727,,,23.723494843121614,,18.22170634634389,,18.124523683458705,,,23.876364579998153,,18.230713822280833,,18.124523683458705,,,0.0,,0.0,,0.0,,,24000,,47600,,4600,,
